id,driver_id,doc_type,doc_name,status,issue_date,expiry_date,alert_days_before,file_url,notes,renewal_history
gggggggg-0001-4000-8000-000000000001,bbbbbbbb-0001-4000-8000-000000000001,carnet_conducir,Carnet C + CE,valid,2022-05-10,2027-05-10,30,,Carnet C y CE renovado,[] 
gggggggg-0002-4000-8000-000000000002,bbbbbbbb-0001-4000-8000-000000000001,cap,CAP — Certificado de Aptitud Profesional,valid,2024-01-15,2029-01-15,60,,Formación continua 35h completada,[{"date":"2024-01-15","action":"renovacion","hours":35}]
gggggggg-0003-4000-8000-000000000003,bbbbbbbb-0001-4000-8000-000000000001,tarjeta_tacografo,Tarjeta conductor tacógrafo,valid,2023-09-20,2028-09-20,30,,Tarjeta G2V2,[] 
gggggggg-0004-4000-8000-000000000004,bbbbbbbb-0001-4000-8000-000000000001,reconocimiento_medico,Reconocimiento médico,valid,2025-11-08,2027-11-8,60,,Apto para conducción profesional,[] 
gggggggg-0005-4000-8000-000000000005,bbbbbbbb-0001-4000-8000-000000000002,carnet_conducir,Carnet C + CE,valid,2021-03-22,2026-06-22,30,,Próximo a renovar,[] 
gggggggg-0006-4000-8000-000000000006,bbbbbbbb-0001-4000-8000-000000000002,cap,CAP — Certificado de Aptitud Profesional,expiring_soon,2021-06-01,2026-05-01,60,,Renovación pendiente,[{"date":"2021-06-01","action":"renovacion","hours":35}]
gggggggg-0007-4000-8000-000000000007,bbbbbbbb-0001-4000-8000-000000000002,tarjeta_tacografo,Tarjeta conductor tacógrafo,valid,2024-04-10,2029-04-10,30,,Tarjeta G2V2,[] 
gggggggg-0008-4000-8000-000000000008,bbbbbbbb-0001-4000-8000-000000000002,reconocimiento_medico,Reconocimiento médico,valid,2025-08-15,2027-08-15,60,,Apto,[] 
gggggggg-0009-4000-8000-000000000009,bbbbbbbb-0001-4000-8000-000000000003,carnet_conducir,Carnet C + CE,valid,2020-01-10,2030-01-10,30,,Renovado hasta 2030,[] 
gggggggg-0010-4000-8000-000000000010,bbbbbbbb-0001-4000-8000-000000000003,cap,CAP — Certificado de Aptitud Profesional,valid,2022-11-20,2027-11-20,60,,Formación continua 35h,[{"date":"2022-11-20","action":"renovacion","hours":35}]
gggggggg-0011-4000-8000-000000000011,bbbbbbbb-0001-4000-8000-000000000003,tarjeta_tacografo,Tarjeta conductor tacógrafo,valid,2023-07-05,2028-07-05,30,,Tarjeta G2V2,[] 
gggggggg-0012-4000-8000-000000000012,bbbbbbbb-0001-4000-8000-000000000003,reconocimiento_medico,Reconocimiento médico,expiring_soon,2024-09-30,2026-04-30,60,,Solicitar renovación,[] 
gggggggg-0013-4000-8000-000000000013,bbbbbbbb-0001-4000-8000-000000000003,certificado_adr,Certificado ADR,valid,2024-06-15,2029-06-15,60,,ADR completo + cisterna + explosivos,[] 
gggggggg-0014-4000-8000-000000000014,bbbbbbbb-0001-4000-8000-000000000004,carnet_conducir,Carnet C + CE,valid,2023-04-18,2028-04-18,30,,Renovado,[] 
gggggggg-0015-4000-8000-000000000015,bbbbbbbb-0001-4000-8000-000000000004,cap,CAP — Certificado de Aptitud Profesional,valid,2023-02-10,2028-02-10,60,,Formación 35h,[] 
gggggggg-0016-4000-8000-000000000016,bbbbbbbb-0001-4000-8000-000000000004,tarjeta_tacografo,Tarjeta conductor tacógrafo,valid,2024-01-20,2029-01-20,30,,Tarjeta G2V2,[] 
gggggggg-0017-4000-8000-000000000017,bbbbbbbb-0001-4000-8000-000000000004,reconocimiento_medico,Reconocimiento médico,valid,2025-06-12,2027-06-12,60,,Apto,[] 
gggggggg-0018-4000-8000-000000000018,bbbbbbbb-0001-4000-8000-000000000005,carnet_conducir,Carnet C + CE,valid,2022-08-30,2027-08-30,30,,En regla,[] 
gggggggg-0019-4000-8000-000000000019,bbbbbbbb-0001-4000-8000-000000000005,cap,CAP — Certificado de Aptitud Profesional,valid,2022-05-15,2027-05-15,60,,Renovado,[] 
gggggggg-0020-4000-8000-000000000020,bbbbbbbb-0001-4000-8000-000000000005,tarjeta_tacografo,Tarjeta conductor tacógrafo,valid,2023-12-01,2028-12-01,30,,Tarjeta G2V2,[] 
