id,vehicle_id,doc_type,doc_name,status,issue_date,expiry_date,alert_days_before,file_url,notes,renewal_history
hhhhhhhh-0001-4000-8000-000000000001,aaaaaaaa-0001-4000-8000-000000000001,itv,ITV — Inspección Técnica de Vehículos,valid,2025-03-10,2026-03-10,30,,ITV favorable primera,[] 
hhhhhhhh-0002-4000-8000-000000000002,aaaaaaaa-0001-4000-8000-000000000001,seguro_rc,Seguro Responsabilidad Civil,valid,2026-01-15,2027-01-15,30,,Póliza Mapfre 123456789,[] 
hhhhhhhh-0003-4000-8000-000000000003,aaaaaaaa-0001-4000-8000-000000000001,tarjeta_transporte,Tarjeta de Transporte MDL,valid,2024-06-01,2029-06-01,30,,Tarjeta MDL renovada,[] 
hhhhhhhh-0004-4000-8000-000000000004,aaaaaaaa-0001-4000-8000-000000000001,calibracion_tacografo,Calibración Tacógrafo Digital,valid,2025-09-20,2027-09-20,30,,Calibración G2V2,[] 
hhhhhhhh-0005-4000-8000-000000000005,aaaaaaaa-0001-4000-8000-000000000001,permiso_circulacion,Permiso de Circulación,valid,,,,,Permiso sin vencimiento ordinario,[] 
hhhhhhhh-0006-4000-8000-000000000006,aaaaaaaa-0001-4000-8000-000000000002,itv,ITV — Inspección Técnica de Vehículos,expiring_soon,2025-04-18,2026-04-18,30,,Programar renovación ITV,[] 
hhhhhhhh-0007-4000-8000-000000000007,aaaaaaaa-0001-4000-8000-000000000002,seguro_rc,Seguro Responsabilidad Civil,valid,2025-12-01,2026-12-01,30,,Póliza Allianz 987654321,[] 
hhhhhhhh-0008-4000-8000-000000000008,aaaaaaaa-0001-4000-8000-000000000002,tarjeta_transporte,Tarjeta de Transporte MDL,valid,2023-11-05,2028-11-05,30,,Tarjeta MDL vigente,[] 
hhhhhhhh-0009-4000-8000-000000000009,aaaaaaaa-0001-4000-8000-000000000002,calibracion_tacografo,Calibración Tacógrafo Digital,valid,2025-07-10,2027-07-10,30,,Calibración OK,[] 
hhhhhhhh-0010-4000-8000-000000000010,aaaaaaaa-0001-4000-8000-000000000002,permiso_circulacion,Permiso de Circulación,valid,,,,,Permiso sin vencimiento ordinario,[] 
hhhhhhhh-0011-4000-8000-000000000011,aaaaaaaa-0001-4000-8000-000000000003,itv,ITV — Inspección Técnica de Vehículos,valid,2026-01-20,2027-01-20,30,,ITV favorable,[] 
hhhhhhhh-0012-4000-8000-000000000012,aaaaaaaa-0001-4000-8000-000000000003,seguro_rc,Seguro Responsabilidad Civil,valid,2026-02-10,2027-02-10,30,,Póliza Zurich 456789123,[] 
hhhhhhhh-0013-4000-8000-000000000013,aaaaaaaa-0001-4000-8000-000000000003,tarjeta_transporte,Tarjeta de Transporte MDL,valid,2024-03-15,2029-03-15,30,,Tarjeta vigente,[] 
hhhhhhhh-0014-4000-8000-000000000014,aaaaaaaa-0001-4000-8000-000000000003,calibracion_tacografo,Calibración Tacógrafo Digital,valid,2025-11-30,2027-11-30,30,,Calibración reciente,[] 
hhhhhhhh-0015-4000-8000-000000000015,aaaaaaaa-0001-4000-8000-000000000003,permiso_circulacion,Permiso de Circulación,valid,,,,,Permiso sin vencimiento ordinario,[] 
hhhhhhhh-0016-4000-8000-000000000016,aaaaaaaa-0001-4000-8000-000000000004,itv,ITV — Inspección Técnica de Vehículos,critical,2025-03-20,2026-03-20,30,,Vencida - renovar urgentemente,[] 
hhhhhhhh-0017-4000-8000-000000000017,aaaaaaaa-0001-4000-8000-000000000004,seguro_rc,Seguro Responsabilidad Civil,valid,2025-10-01,2026-10-01,30,,Póliza Axa 789123456,[] 
hhhhhhhh-0018-4000-8000-000000000018,aaaaaaaa-0001-4000-8000-000000000004,tarjeta_transporte,Tarjeta de Transporte MDL,valid,2023-08-20,2028-08-20,30,,Tarjeta vigente,[] 
hhhhhhhh-0019-4000-8000-000000000019,aaaaaaaa-0001-4000-8000-000000000004,calibracion_tacografo,Calibración Tacógrafo Digital,valid,2026-02-20,2028-02-20,30,,Calibración reciente,[] 
hhhhhhhh-0020-4000-8000-000000000020,aaaaaaaa-0001-4000-8000-000000000004,permiso_circulacion,Permiso de Circulación,valid,,,,,Permiso sin vencimiento ordinario,[] 
hhhhhhhh-0021-4000-8000-000000000021,aaaaaaaa-0001-4000-8000-000000000004,certificado_adr_vehiculo,Certificado ADR del Vehículo,valid,2025-06-10,2026-06-10,30,,Certificado ADR cisterna vigente,[] 
hhhhhhhh-0022-4000-8000-000000000022,aaaaaaaa-0001-4000-8000-000000000005,itv,ITV — Inspección Técnica de Vehículos,valid,2025-12-15,2026-12-15,30,,ITV favorable vehículo nuevo,[] 
hhhhhhhh-0023-4000-8000-000000000023,aaaaaaaa-0001-4000-8000-000000000005,seguro_rc,Seguro Responsabilidad Civil,valid,2026-02-14,2027-02-14,30,,Póliza desde matriculación,[] 
hhhhhhhh-0024-4000-8000-000000000024,aaaaaaaa-0001-4000-8000-000000000005,tarjeta_transporte,Tarjeta de Transporte MDL,valid,2025-02-14,2030-02-14,30,,Tarjeta MDL nueva,[] 
hhhhhhhh-0025-4000-8000-000000000025,aaaaaaaa-0001-4000-8000-000000000005,calibracion_tacografo,Calibración Tacógrafo Digital,valid,2025-02-14,2027-02-14,30,,Calibración inicial,[] 
hhhhhhhh-0026-4000-8000-000000000026,aaaaaaaa-0001-4000-8000-000000000005,permiso_circulacion,Permiso de Circulación,valid,,,,,Permiso sin vencimiento ordinario,[] 
hhhhhhhh-0027-4000-8000-000000000027,aaaaaaaa-0001-4000-8000-000000000006,itv,ITV — Inspección Técnica de Vehículos,expired,2024-11-10,2025-11-10,30,,ITV vencida - vehículo en mantenimiento,[] 
hhhhhhhh-0028-4000-8000-000000000028,aaaaaaaa-0001-4000-8000-000000000006,seguro_rc,Seguro Responsabilidad Civil,valid,2025-11-22,2026-11-22,30,,Póliza vigente,[] 
hhhhhhhh-0029-4000-8000-000000000029,aaaaaaaa-0001-4000-8000-000000000006,tarjeta_transporte,Tarjeta de Transporte MDL,valid,2023-04-10,2028-04-10,30,,Tarjeta vigente,[] 
hhhhhhhh-0030-4000-8000-000000000030,aaaaaaaa-0001-4000-8000-000000000006,calibracion_tacografo,Calibración Tacógrafo Digital,valid,2025-05-15,2027-05-15,30,,Calibración OK,[] 
hhhhhhhh-0031-4000-8000-000000000031,aaaaaaaa-0001-4000-8000-000000000006,permiso_circulacion,Permiso de Circulación,valid,,,,,Permiso sin vencimiento ordinario,[] 
